Municipio,Cod_Municipio,Provincia,Cod_Provincia,Población,Longitud,Latitud,CoordenadaX,CoordenadaY,Posición,presencia_de_comercio,Tiene_Hospital,Transplantes,Dificultad_Acceso,Accidentes_Raw,Accidentes_Por_Carretera,tiene_centro,DENSIDADMM,4G
PRIORO,120,LEÓN,24,349,-4.962127,42.893396,339791.7,4750844.23,"42.893396, -4.962127",0,0,0,0.85,0.4156398104265405,0.0012,1,0.001882679881,0.9727
PUENTE DE DOMINGO FLÓREZ,122,LEÓN,24,1385,-6.818355,42.410721,185793.28,4702446.52,"42.410721, -6.818355",0,0,0,0.96,0.4156398104265405,0.0012,0,0.006464773016,1.0
QUINTANA DEL CASTILLO,123,LEÓN,24,717,-6.045955,42.661303,250360.17,4727703.12,"42.661303, -6.045955",0,0,0,0.17,0.4156398104265405,0.0012,1,0.001213598857,0.9608
QUINTANA DEL MARCO,124,LEÓN,24,319,-5.851007,42.206083,264640.12,4676593.35,"42.206083, -5.851007",0,0,0,0.19,0.4156398104265405,0.0012,1,0.00384242497,1.0
QUINTANA Y CONGOSTO,125,LEÓN,24,416,-6.037687,42.256138,249425.95,4682684.47,"42.256138, -6.037687",0,0,0,0.21,0.4156398104265405,0.0012,1,0.001227283321,0.9024
RIAÑO,130,LEÓN,24,474,-5.016162,42.973051,335591.66,4759794.4,"42.973051, -5.016162",0,0,0,0.85,1.2156398104265405,0.0036,1,0.001227877697,1.0
RIEGO DE LA VEGA,131,LEÓN,24,714,-5.982322,42.388788,254510.08,4697253.68,"42.388788, -5.982322",0,0,0,0.17,0.4156398104265405,0.0012,1,0.005510591582,0.9992
ROPERUELOS DEL PÁRAMO,136,LEÓN,24,499,-5.782739,42.237478,270390.18,4679893.37,"42.237478, -5.782739",0,0,0,0.18,0.4156398104265405,0.0012,1,0.002484035947,1.0
SAHAGÚN,139,LEÓN,24,2398,-5.033238,42.371199,332590.92,4692993.63,"42.371199, -5.033238",0,0,0,0.2,48.765639810426514,0.1488,1,0.00539491797,0.9784
SAN CRISTÓBAL DE LA POLANTERA,144,LEÓN,24,625,-5.907452,42.390533,260680.16,4697233.66,"42.390533, -5.907452",0,0,0,0.16,0.4156398104265405,0.0012,1,0.007120677414,1.0
SAN MILLÁN DE LOS CABALLEROS,149,LEÓN,24,191,-5.561072,42.284971,288840.32,4684593.38,"42.284971, -5.561072",0,0,0,0.16,0.4156398104265405,0.0012,1,0.001905566678,1.0
SANTA ELENA DE JAMUZ,154,LEÓN,24,1015,-5.888204,42.259454,261770.1,4682623.44,"42.259454, -5.888204",0,0,0,0.18,0.4156398104265405,0.0012,1,0.004511517297,1.0
SANTA MARÍA DE ORDÁS,158,LEÓN,24,2999,-5.823676,42.726353,268820.54,4734294.23,"42.726353, -5.823676",0,0,0,0.13,0.4156398104265405,0.0012,1,0.001967546119,0.9672
SANTA MARINA DEL REY,159,LEÓN,24,1745,-5.861994,42.512796,264880.33,4710683.84,"42.512796, -5.861994",0,0,0,0.13,0.4156398104265405,0.0012,1,0.01061234988,1.0
URDIALES DEL PÁRAMO,174,LEÓN,24,449,-5.771081,42.37239,271840.27,4694843.58,"42.37239, -5.771081",0,0,0,0.15,0.4156398104265405,0.0012,1,0.003759973371,0.9824
VAL DE SAN LORENZO,185,LEÓN,24,492,-6.122684,42.417871,243073.96,4700898.76,"42.417871, -6.122684",0,0,0,0.19,0.4156398104265405,0.0012,1,0.002723362325,1.0
VALDEFRESNO,175,LEÓN,24,2335,-5.49251,42.593744,295500.75,4718713.88,"42.593744, -5.49251",0,0,0,0.09,0.4156398104265405,0.0012,1,0.006109008902,0.9996
VALDEPIÉLAGO,179,LEÓN,24,308,-5.398413,42.869327,304091.18,4749094.37,"42.869327, -5.398413",0,0,0,0.78,0.4156398104265405,0.0012,1,0.001329068508,0.7803
VALDEVIMBRE,187,LEÓN,24,894,-5.620023,42.41962,284440.43,4699693.62,"42.41962, -5.620023",0,0,0,0.12,0.4156398104265405,0.0012,1,0.003592629173,1.0
VALENCIA DE DON JUAN,188,LEÓN,24,5094,-5.520189,42.293802,292240.36,4685473.4,"42.293802, -5.520189",0,0,0,0.16,12.36563981042653,0.0377,1,0.02429501387,0.9999
VALLECILLO,191,LEÓN,24,101,-5.210621,42.355757,317940.71,4691643.6,"42.355757, -5.210621",0,0,0,0.17,0.4156398104265405,0.0012,1,0.001170928052,1.0
VALVERDE DE LA VIRGEN,189,LEÓN,24,7806,-5.682925,42.56918,279790.6,4716463.85,"42.56918, -5.682925",0,0,0,0.09,0.4156398104265405,0.0012,1,0.03313659273,1.0
VEGAS DEL CONDADO,201,LEÓN,24,1154,-5.364936,42.68479,306250.98,4728523.96,"42.68479, -5.364936",0,0,0,0.12,0.4156398104265405,0.0012,1,0.002522992211,0.9921
VILLABLINO,202,LEÓN,24,7709,-6.317,42.939834,229362.04,4759473.35,"42.939834, -6.317",0,1,0,0.88,58.36563981042651,0.1781,1,0.009381811556,0.9912
