AÑO;NOMBRE;T.RED;DESCRIPCIÓN;LONG.;IMD;ASV;ACV;MUERTOS;HERIDOS;IM;IP;IAT;IL;IG
2023;VA-203;CL;DE QUINTANILLA DE ONÉSIMO (N-122) A LÍMITE DE PROVINCIA DE SEGOVIA;23.0;239.27260869565214;10.0;2.0;0.0;4.0;0.0;99.56720376784205;597.4032226070523;0.0;0.0
2023;VA-223;CP;DE PEÑAFIEL A LÍMITE DE PROVINCIA DE SEGOVIA;19.861;1766.270278435124;18.0;0.0;0.0;0.0;0.0;0.0;140.5792973409517;0.0;0.0
2023;VA-801;CP;DE ATAQUINES (N-VI) A ALAEJOS (N-620);41.601;457.6780125477752;1.0;1.0;0.0;1.0;0.0;14.389420908108741;28.778841816217483;0.0;0.0
2023;VA-932;CL;DE VILLALÓN DE CAMPOS (N-610) A LÍMITE DE PROVINCIA DE LEÓN;23.45;468.41577825159914;6.0;3.0;0.0;4.0;0.0;74.82625810532058;224.47877431596174;0.0;0.0
2023;ZA-125;CP;DE LÍMITE DE PROVINCIA DE LEÓN A PALACIOS DE SANABRIA, CRUCE CON N-525;33.614;299.0;18.0;1.0;0.0;1.0;0.0;27.259366044897885;517.9279548530598;0.0;0.0
2023;ZA-305;CP;DE CRUCE CON N-630 A LÍMITE DE PROVINCIA DE SALAMANCA;41.7;727.5758033573142;15.0;0.0;0.0;0.0;0.0;0.0;135.4515852434732;0.0;0.0
2023;AV-110;CP;DE ÁVILA (GLORIETA RAMAL DE ENLACE A-50 AV-20) A AV-105;51.46;739.6781966575982;27.0;0.0;0.0;0.0;0.0;0.0;194.3382557821965;0.0;0.0
2023;AV-910;CL;DE CANDELEDA (CL-501) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;7.3;943.0;4.0;0.0;0.0;0.0;0.0;0.0;159.19615493526985;0.0;0.0
2023;A-231;B;DE LEÓN A BURGOS;157.0;8992.359713375796;163.0;27.0;1.0;45.0;0.19405901017261382;5.239593274660574;36.871211932796626;2.1739130434782608;3.7037037037037033
2023;BU-114;CL;DE A-I A VILLAFRUELA;16.2;570.0;19.0;1.0;0.0;1.0;0.0;29.66998080352242;593.3996160704484;0.0;0.0
2023;BU-403;CL;DE CASTRILLO MATAJUDÍOS (BU-400) A LÍMITE DE PROVINCIA DE PALENCIA;7.15;140.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;BU-561;CL;DE VILLARCAYO (CL-629) A SANTELICES (BU-525);20.2;400.0;5.0;1.0;0.0;1.0;0.0;33.907500339075;203.44500203445003;0.0;0.0
2023;BU-800;CP;DE ACCESO CARTUJA DE MIRAFLORES (BURGOS) A BURGOS (N-1 ROTONDA DE SAN AGUSTÍN);18.1;2252.867403314917;27.0;2.0;0.0;2.0;0.0;13.43763762030591;194.8457454944357;0.0;0.0
2023;BU-904;CP;DE LERMA, (N-I) A COVARRUBIAS (BU-901);21.8;442.0;50.0;2.0;0.0;2.0;0.0;56.8667447257516;1478.5353628695416;0.0;0.0
2023;CL-607;B;DE CL-601 A  CL-605;5.535;4312.235772357723;6.0;2.0;0.0;3.0;0.0;22.957099050283464;91.82839620113386;0.0;0.0
